experiment_id,timestamp,seed,variant,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,computational_time,data_source
ablation_42_5_equal_full_42,2026-09-01T13:56:01.777798,42,full,5,equal,100.0,43.51,43.51,0.8536,0.383775,16.95,1.13,0.000106,SIMULATION
ablation_42_5_equal_full_43,2026-09-01T13:56:01.778420,43,full,5,equal,100.0,57.93,57.93,0.8118,-1.078574,8.54,4.48,4.2e-05,SIMULATION
ablation_42_5_equal_full_44,2026-09-01T13:56:01.778743,44,full,5,equal,100.0,37.12,37.12,0.6829,0.726238,13.72,3.71,3.3e-05,SIMULATION
ablation_42_5_equal_full_45,2026-09-01T13:56:01.779053,45,full,5,equal,100.0,48.12,48.12,0.836,-0.261632,11.81,3.44,3.2e-05,SIMULATION
ablation_42_5_equal_full_46,2026-09-01T13:56:01.779422,46,full,5,equal,100.0,49.63,49.63,0.7262,-0.363674,20.44,3.0,5.6e-05,SIMULATION
ablation_42_5_equal_full_47,2026-09-01T13:56:01.779796,47,full,5,equal,100.0,56.9,56.9,0.8492,-0.833723,12.93,3.15,3.3e-05,SIMULATION
ablation_42_5_equal_full_48,2026-09-01T13:56:01.780096,48,full,5,equal,100.0,77.88,77.88,0.9623,-3.29196,15.67,1.66,3.2e-05,SIMULATION
ablation_42_5_equal_full_49,2026-09-01T13:56:01.780414,49,full,5,equal,100.0,44.1,44.1,0.7039,0.151399,8.94,3.07,3.2e-05,SIMULATION
ablation_42_5_equal_full_50,2026-09-01T13:56:01.780717,50,full,5,equal,100.0,61.14,61.14,0.8655,-1.372436,14.97,2.33,3.2e-05,SIMULATION
ablation_42_5_equal_full_51,2026-09-01T13:56:01.781019,51,full,5,equal,100.0,76.17,76.17,0.9758,-3.113895,11.41,3.51,3.2e-05,SIMULATION
ablation_42_5_equal_full_52,2026-09-01T13:56:01.781380,52,full,5,equal,100.0,63.19,63.19,0.8084,-1.594238,21.7,1.27,5.3e-05,SIMULATION
ablation_42_5_equal_full_53,2026-09-01T13:56:01.781952,53,full,5,equal,100.0,86.77,86.77,0.9485,-4.77849,16.64,5.45,5.3e-05,SIMULATION
ablation_42_5_equal_full_54,2026-09-01T13:56:01.782408,54,full,5,equal,100.0,69.72,69.72,0.9413,-2.239653,20.79,1.69,4.8e-05,SIMULATION
ablation_42_5_equal_full_55,2026-09-01T13:56:01.782857,55,full,5,equal,100.0,60.78,60.78,0.8529,-1.738261,9.26,5.75,4.7e-05,SIMULATION
ablation_42_5_equal_full_56,2026-09-01T13:56:01.783312,56,full,5,equal,100.0,71.25,71.25,0.8559,-2.542629,21.52,3.8,4.7e-05,SIMULATION
ablation_42_5_equal_full_57,2026-09-01T13:56:01.783751,57,full,5,equal,100.0,63.49,63.49,0.8735,-1.303304,8.6,3.95,4.7e-05,SIMULATION
ablation_42_5_equal_full_58,2026-09-01T13:56:01.784205,58,full,5,equal,100.0,70.82,70.82,0.8978,-2.652614,16.13,2.03,4.7e-05,SIMULATION
ablation_42_5_equal_full_59,2026-09-01T13:56:01.784639,59,full,5,equal,100.0,54.6,54.6,0.8977,-0.627645,11.14,5.66,4.6e-05,SIMULATION
ablation_42_5_equal_full_60,2026-09-01T13:56:01.785087,60,full,5,equal,100.0,60.82,60.82,0.8671,-1.483007,12.31,3.89,4.8e-05,SIMULATION
ablation_42_5_equal_full_61,2026-09-01T13:56:01.785531,61,full,5,equal,100.0,45.46,45.46,0.9116,0.068652,14.92,3.78,4.8e-05,SIMULATION
ablation_42_5_equal_full_62,2026-09-01T13:56:01.785893,62,full,5,equal,100.0,60.04,60.04,0.8822,-1.463745,20.99,1.87,3.1e-05,SIMULATION
ablation_42_5_equal_full_63,2026-09-01T13:56:01.786185,63,full,5,equal,100.0,43.41,43.41,0.7733,0.238472,14.23,2.47,2.9e-05,SIMULATION
ablation_42_5_equal_full_64,2026-09-01T13:56:01.786472,64,full,5,equal,100.0,59.38,59.38,0.8513,-1.280711,14.67,4.15,3e-05,SIMULATION
ablation_42_5_equal_full_65,2026-09-01T13:56:01.786760,65,full,5,equal,100.0,83.46,83.46,0.981,-4.059473,13.81,2.44,3e-05,SIMULATION
ablation_42_5_equal_full_66,2026-09-01T13:56:01.787059,66,full,5,equal,100.0,49.24,49.24,0.9158,0.072725,8.99,3.17,3.1e-05,SIMULATION
ablation_42_5_equal_full_67,2026-09-01T13:56:01.787348,67,full,5,equal,100.0,69.62,69.62,0.8404,-2.151807,9.05,4.83,2.9e-05,SIMULATION
ablation_42_5_equal_full_68,2026-09-01T13:56:01.787638,68,full,5,equal,100.0,71.17,71.17,0.955,-2.6772,18.38,5.7,3e-05,SIMULATION
ablation_42_5_equal_full_69,2026-09-01T13:56:01.787927,69,full,5,equal,100.0,54.29,54.29,0.752,-0.590451,17.58,1.48,3e-05,SIMULATION
ablation_42_5_equal_full_70,2026-09-01T13:56:01.788225,70,full,5,equal,100.0,67.46,67.46,0.8746,-2.399136,20.74,2.47,3e-05,SIMULATION
ablation_42_5_equal_full_71,2026-09-01T13:56:01.788525,71,full,5,equal,100.0,47.72,47.72,0.8897,-0.06091,12.53,4.1,3e-05,SIMULATION
ablation_42_5_proportional_full_42,2026-09-01T13:56:01.789038,42,full,5,proportional,100.0,43.51,43.51,0.8536,0.383775,16.95,1.13,6.8e-05,SIMULATION
ablation_42_5_proportional_full_43,2026-09-01T13:56:01.789395,43,full,5,proportional,100.0,57.93,57.93,0.8118,-1.078574,8.54,4.48,3.3e-05,SIMULATION
ablation_42_5_proportional_full_44,2026-09-01T13:56:01.789808,44,full,5,proportional,100.0,37.12,37.12,0.6829,0.726238,13.72,3.71,5.6e-05,SIMULATION
ablation_42_5_proportional_full_45,2026-09-01T13:56:01.790355,45,full,5,proportional,100.0,48.12,48.12,0.836,-0.261632,11.81,3.44,4.1e-05,SIMULATION
ablation_42_5_proportional_full_46,2026-09-01T13:56:01.790909,46,full,5,proportional,100.0,51.37,51.37,0.7028,-0.527024,20.44,3.0,8.2e-05,SIMULATION
ablation_42_5_proportional_full_47,2026-09-01T13:56:01.791434,47,full,5,proportional,100.0,56.9,56.9,0.8492,-0.833723,12.93,3.15,5.5e-05,SIMULATION
ablation_42_5_proportional_full_48,2026-09-01T13:56:01.791954,48,full,5,proportional,100.0,82.11,82.11,0.9315,-3.93708,15.67,1.66,5.4e-05,SIMULATION
ablation_42_5_proportional_full_49,2026-09-01T13:56:01.792460,49,full,5,proportional,100.0,44.33,44.33,0.6996,0.133039,8.94,3.07,5.4e-05,SIMULATION
ablation_42_5_proportional_full_50,2026-09-01T13:56:01.792986,50,full,5,proportional,100.0,63.69,63.69,0.8344,-1.68488,14.97,2.33,5.5e-05,SIMULATION
ablation_42_5_proportional_full_51,2026-09-01T13:56:01.793502,51,full,5,proportional,100.0,76.17,76.17,0.9758,-3.113895,11.41,3.51,5.5e-05,SIMULATION
ablation_42_5_proportional_full_52,2026-09-01T13:56:01.794024,52,full,5,proportional,100.0,65.31,65.31,0.792,-1.865962,21.7,1.27,5.5e-05,SIMULATION
ablation_42_5_proportional_full_53,2026-09-01T13:56:01.794540,53,full,5,proportional,100.0,98.14,98.14,0.9139,-6.851438,16.64,5.45,5.4e-05,SIMULATION
ablation_42_5_proportional_full_54,2026-09-01T13:56:01.795144,54,full,5,proportional,100.0,72.62,72.62,0.9114,-2.652246,20.79,1.69,5.6e-05,SIMULATION
ablation_42_5_proportional_full_55,2026-09-01T13:56:01.795661,55,full,5,proportional,100.0,60.78,60.78,0.8529,-1.738261,9.26,5.75,5.3e-05,SIMULATION
ablation_42_5_proportional_full_56,2026-09-01T13:56:01.796205,56,full,5,proportional,100.0,81.04,81.04,0.785,-3.981707,21.52,3.8,5.5e-05,SIMULATION
ablation_42_5_proportional_full_57,2026-09-01T13:56:01.796712,57,full,5,proportional,100.0,63.49,63.49,0.8735,-1.303304,8.6,3.95,5.4e-05,SIMULATION
ablation_42_5_proportional_full_58,2026-09-01T13:56:01.797267,58,full,5,proportional,100.0,70.82,70.82,0.8978,-2.652614,16.13,2.03,5.7e-05,SIMULATION
ablation_42_5_proportional_full_59,2026-09-01T13:56:01.797786,59,full,5,proportional,100.0,54.6,54.6,0.8977,-0.627645,11.14,5.66,6.1e-05,SIMULATION
ablation_42_5_proportional_full_60,2026-09-01T13:56:01.798308,60,full,5,proportional,100.0,60.82,60.82,0.8671,-1.483007,12.31,3.89,5.4e-05,SIMULATION
ablation_42_5_proportional_full_61,2026-09-01T13:56:01.798834,61,full,5,proportional,100.0,45.46,45.46,0.9116,0.068652,14.92,3.78,7e-05,SIMULATION
ablation_42_5_proportional_full_62,2026-09-01T13:56:01.799341,62,full,5,proportional,100.0,60.04,60.04,0.8822,-1.463745,20.99,1.87,5.5e-05,SIMULATION
ablation_42_5_proportional_full_63,2026-09-01T13:56:01.799858,63,full,5,proportional,100.0,43.41,43.41,0.7733,0.238472,14.23,2.47,5.3e-05,SIMULATION
ablation_42_5_proportional_full_64,2026-09-01T13:56:01.800392,64,full,5,proportional,100.0,59.38,59.38,0.8513,-1.280711,14.67,4.15,5.4e-05,SIMULATION
ablation_42_5_proportional_full_65,2026-09-01T13:56:01.800923,65,full,5,proportional,100.0,90.35,90.35,0.9366,-5.209158,13.81,2.44,5.5e-05,SIMULATION
ablation_42_5_proportional_full_66,2026-09-01T13:56:01.801446,66,full,5,proportional,100.0,49.24,49.24,0.9158,0.072725,8.99,3.17,5.6e-05,SIMULATION
ablation_42_5_proportional_full_67,2026-09-01T13:56:01.801975,67,full,5,proportional,100.0,74.15,74.15,0.8114,-2.795147,9.05,4.83,5.6e-05,SIMULATION
ablation_42_5_proportional_full_68,2026-09-01T13:56:01.802502,68,full,5,proportional,100.0,75.16,75.16,0.9138,-3.276309,18.38,5.7,5.5e-05,SIMULATION
ablation_42_5_proportional_full_69,2026-09-01T13:56:01.803028,69,full,5,proportional,100.0,54.29,54.29,0.752,-0.590451,17.58,1.48,5.7e-05,SIMULATION
ablation_42_5_proportional_full_70,2026-09-01T13:56:01.803546,70,full,5,proportional,100.0,67.46,67.46,0.8746,-2.399136,20.74,2.47,5.5e-05,SIMULATION
ablation_42_5_proportional_full_71,2026-09-01T13:56:01.804072,71,full,5,proportional,100.0,47.72,47.72,0.8897,-0.06091,12.53,4.1,5.5e-05,SIMULATION
ablation_42_5_priority_full_42,2026-09-01T13:56:01.804608,42,full,5,priority,100.0,100.0,100.0,0.9686,-7.305538,16.95,1.13,5.7e-05,SIMULATION
ablation_42_5_priority_full_43,2026-09-01T13:56:01.805154,43,full,5,priority,100.0,100.0,100.0,0.9278,-7.526669,8.54,4.48,5.5e-05,SIMULATION
ablation_42_5_priority_full_44,2026-09-01T13:56:01.805693,44,full,5,priority,100.0,100.0,100.0,0.9399,-7.424745,13.72,3.71,5.7e-05,SIMULATION
ablation_42_5_priority_full_45,2026-09-01T13:56:01.806275,45,full,5,priority,100.0,100.0,100.0,0.9565,-7.996016,11.81,3.44,7.2e-05,SIMULATION
ablation_42_5_priority_full_46,2026-09-01T13:56:01.806855,46,full,5,priority,100.0,100.0,100.0,0.9334,-7.675751,20.44,3.0,5.9e-05,SIMULATION
ablation_42_5_priority_full_47,2026-09-01T13:56:01.807406,47,full,5,priority,100.0,100.0,100.0,0.9657,-7.456183,12.93,3.15,5.7e-05,SIMULATION
ablation_42_5_priority_full_48,2026-09-01T13:56:01.807945,48,full,5,priority,100.0,100.0,100.0,0.9863,-7.10111,15.67,1.66,5.7e-05,SIMULATION
ablation_42_5_priority_full_49,2026-09-01T13:56:01.808477,49,full,5,priority,100.0,100.0,100.0,0.9304,-7.359601,8.94,3.07,5.6e-05,SIMULATION
ablation_42_5_priority_full_50,2026-09-01T13:56:01.809014,50,full,5,priority,100.0,100.0,100.0,0.9671,-7.709637,14.97,2.33,5.7e-05,SIMULATION
ablation_42_5_priority_full_51,2026-09-01T13:56:01.809548,51,full,5,priority,100.0,100.0,100.0,0.9858,-7.286361,11.41,3.51,5.5e-05,SIMULATION
ablation_42_5_priority_full_52,2026-09-01T13:56:01.810093,52,full,5,priority,100.0,100.0,100.0,0.9523,-7.641262,21.7,1.27,5.5e-05,SIMULATION
ablation_42_5_priority_full_53,2026-09-01T13:56:01.810632,53,full,5,priority,100.0,100.0,100.0,0.9608,-7.254289,16.64,5.45,5.6e-05,SIMULATION
ablation_42_5_priority_full_54,2026-09-01T13:56:01.811199,54,full,5,priority,100.0,100.0,100.0,0.9802,-7.402869,20.79,1.69,6e-05,SIMULATION
ablation_42_5_priority_full_55,2026-09-01T13:56:01.811759,55,full,5,priority,100.0,100.0,100.0,0.9401,-8.139685,9.26,5.75,5.8e-05,SIMULATION
ablation_42_5_priority_full_56,2026-09-01T13:56:01.812311,56,full,5,priority,100.0,100.0,100.0,0.9227,-7.25099,21.52,3.8,5.8e-05,SIMULATION
ablation_42_5_priority_full_57,2026-09-01T13:56:01.812848,57,full,5,priority,100.0,100.0,100.0,0.9448,-6.918151,8.6,3.95,5.6e-05,SIMULATION
ablation_42_5_priority_full_58,2026-09-01T13:56:01.813388,58,full,5,priority,100.0,100.0,100.0,0.946,-7.588141,16.13,2.03,5.7e-05,SIMULATION
ablation_42_5_priority_full_59,2026-09-01T13:56:01.813933,59,full,5,priority,100.0,100.0,100.0,0.9671,-7.535309,11.14,5.66,5.6e-05,SIMULATION
ablation_42_5_priority_full_60,2026-09-01T13:56:01.814465,60,full,5,priority,100.0,100.0,100.0,0.9463,-7.789641,12.31,3.89,5.5e-05,SIMULATION
ablation_42_5_priority_full_61,2026-09-01T13:56:01.815003,61,full,5,priority,100.0,100.0,100.0,0.9803,-7.90217,14.92,3.78,5.6e-05,SIMULATION
ablation_42_5_priority_full_62,2026-09-01T13:56:01.815537,62,full,5,priority,100.0,100.0,100.0,0.9541,-7.968714,20.99,1.87,5.5e-05,SIMULATION
ablation_42_5_priority_full_63,2026-09-01T13:56:01.816073,63,full,5,priority,100.0,100.0,100.0,0.9477,-7.523228,14.23,2.47,5.5e-05,SIMULATION
ablation_42_5_priority_full_64,2026-09-01T13:56:01.816609,64,full,5,priority,100.0,100.0,100.0,0.952,-7.662556,14.67,4.15,5.6e-05,SIMULATION
ablation_42_5_priority_full_65,2026-09-01T13:56:01.817188,65,full,5,priority,100.0,100.0,100.0,0.9933,-7.060924,13.81,2.44,5.7e-05,SIMULATION
ablation_42_5_priority_full_66,2026-09-01T13:56:01.817737,66,full,5,priority,100.0,100.0,100.0,0.9782,-7.13372,8.99,3.17,6.1e-05,SIMULATION
ablation_42_5_priority_full_67,2026-09-01T13:56:01.818300,67,full,5,priority,100.0,100.0,100.0,0.8947,-7.027032,9.05,4.83,5.7e-05,SIMULATION
ablation_42_5_priority_full_68,2026-09-01T13:56:01.818830,68,full,5,priority,100.0,100.0,100.0,0.9752,-7.629725,18.38,5.7,5.3e-05,SIMULATION
ablation_42_5_priority_full_69,2026-09-01T13:56:01.819358,69,full,5,priority,100.0,100.0,100.0,0.924,-7.341133,17.58,1.48,5.7e-05,SIMULATION
ablation_42_5_priority_full_70,2026-09-01T13:56:01.819939,70,full,5,priority,100.0,100.0,100.0,0.9388,-7.828972,20.74,2.47,5.9e-05,SIMULATION
ablation_42_5_priority_full_71,2026-09-01T13:56:01.820491,71,full,5,priority,100.0,100.0,100.0,0.9725,-7.759309,12.53,4.1,5.6e-05,SIMULATION
ablation_42_5_max_min_fairness_full_42,2026-09-01T13:56:01.821045,42,full,5,max_min_fairness,100.0,43.51,43.51,0.8536,0.383775,16.95,1.13,5.9e-05,SIMULATION
ablation_42_5_max_min_fairness_full_43,2026-09-01T13:56:01.821583,43,full,5,max_min_fairness,100.0,57.93,57.93,0.8118,-1.078574,8.54,4.48,5.6e-05,SIMULATION
ablation_42_5_max_min_fairness_full_44,2026-09-01T13:56:01.822116,44,full,5,max_min_fairness,100.0,37.12,37.12,0.6829,0.726238,13.72,3.71,5.6e-05,SIMULATION
ablation_42_5_max_min_fairness_full_45,2026-09-01T13:56:01.822674,45,full,5,max_min_fairness,100.0,48.12,48.12,0.836,-0.261632,11.81,3.44,5.9e-05,SIMULATION
ablation_42_5_max_min_fairness_full_46,2026-09-01T13:56:01.823317,46,full,5,max_min_fairness,100.0,51.37,51.37,0.7028,-0.527024,20.44,3.0,6.9e-05,SIMULATION
ablation_42_5_max_min_fairness_full_47,2026-09-01T13:56:01.824023,47,full,5,max_min_fairness,100.0,56.9,56.9,0.8492,-0.833723,12.93,3.15,6.2e-05,SIMULATION
ablation_42_5_max_min_fairness_full_48,2026-09-01T13:56:01.824568,48,full,5,max_min_fairness,100.0,82.11,82.11,0.9315,-3.93708,15.67,1.66,4.7e-05,SIMULATION
ablation_42_5_max_min_fairness_full_49,2026-09-01T13:56:01.825019,49,full,5,max_min_fairness,100.0,44.33,44.33,0.6996,0.133039,8.94,3.07,4.1e-05,SIMULATION
ablation_42_5_max_min_fairness_full_50,2026-09-01T13:56:01.825337,50,full,5,max_min_fairness,100.0,63.69,63.69,0.8344,-1.68488,14.97,2.33,3.2e-05,SIMULATION
ablation_42_5_max_min_fairness_full_51,2026-09-01T13:56:01.825648,51,full,5,max_min_fairness,100.0,76.17,76.17,0.9758,-3.113895,11.41,3.51,3.1e-05,SIMULATION
ablation_42_5_max_min_fairness_full_52,2026-09-01T13:56:01.825952,52,full,5,max_min_fairness,100.0,65.31,65.31,0.792,-1.865962,21.7,1.27,3.1e-05,SIMULATION
ablation_42_5_max_min_fairness_full_53,2026-09-01T13:56:01.826495,53,full,5,max_min_fairness,100.0,98.14,98.14,0.9139,-6.851438,16.64,5.45,6.2e-05,SIMULATION
ablation_42_5_max_min_fairness_full_54,2026-09-01T13:56:01.827056,54,full,5,max_min_fairness,100.0,72.62,72.62,0.9114,-2.652246,20.79,1.69,5.8e-05,SIMULATION
ablation_42_5_max_min_fairness_full_55,2026-09-01T13:56:01.827609,55,full,5,max_min_fairness,100.0,60.78,60.78,0.8529,-1.738261,9.26,5.75,5.8e-05,SIMULATION
ablation_42_5_max_min_fairness_full_56,2026-09-01T13:56:01.828179,56,full,5,max_min_fairness,100.0,81.04,81.04,0.785,-3.981707,21.52,3.8,6.2e-05,SIMULATION
ablation_42_5_max_min_fairness_full_57,2026-09-01T13:56:01.828718,57,full,5,max_min_fairness,100.0,63.49,63.49,0.8735,-1.303304,8.6,3.95,5.8e-05,SIMULATION
ablation_42_5_max_min_fairness_full_58,2026-09-01T13:56:01.829265,58,full,5,max_min_fairness,100.0,70.82,70.82,0.8978,-2.652614,16.13,2.03,5.7e-05,SIMULATION
ablation_42_5_max_min_fairness_full_59,2026-09-01T13:56:01.829804,59,full,5,max_min_fairness,100.0,54.6,54.6,0.8977,-0.627645,11.14,5.66,5.7e-05,SIMULATION
ablation_42_5_max_min_fairness_full_60,2026-09-01T13:56:01.830346,60,full,5,max_min_fairness,100.0,60.82,60.82,0.8671,-1.483007,12.31,3.89,5.5e-05,SIMULATION
ablation_42_5_max_min_fairness_full_61,2026-09-01T13:56:01.830891,61,full,5,max_min_fairness,100.0,45.46,45.46,0.9116,0.068652,14.92,3.78,5.7e-05,SIMULATION
ablation_42_5_max_min_fairness_full_62,2026-09-01T13:56:01.831423,62,full,5,max_min_fairness,100.0,60.04,60.04,0.8822,-1.463745,20.99,1.87,5.6e-05,SIMULATION
ablation_42_5_max_min_fairness_full_63,2026-09-01T13:56:01.831968,63,full,5,max_min_fairness,100.0,43.41,43.41,0.7733,0.238472,14.23,2.47,5.7e-05,SIMULATION
ablation_42_5_max_min_fairness_full_64,2026-09-01T13:56:01.832499,64,full,5,max_min_fairness,100.0,59.38,59.38,0.8513,-1.280711,14.67,4.15,5.6e-05,SIMULATION
ablation_42_5_max_min_fairness_full_65,2026-09-01T13:56:01.833040,65,full,5,max_min_fairness,100.0,90.35,90.35,0.9366,-5.209158,13.81,2.44,5.7e-05,SIMULATION
ablation_42_5_max_min_fairness_full_66,2026-09-01T13:56:01.833576,66,full,5,max_min_fairness,100.0,49.24,49.24,0.9158,0.072725,8.99,3.17,5.6e-05,SIMULATION
ablation_42_5_max_min_fairness_full_67,2026-09-01T13:56:01.834148,67,full,5,max_min_fairness,100.0,74.15,74.15,0.8114,-2.795147,9.05,4.83,5.7e-05,SIMULATION
ablation_42_5_max_min_fairness_full_68,2026-09-01T13:56:01.834689,68,full,5,max_min_fairness,100.0,75.16,75.16,0.9138,-3.276309,18.38,5.7,5.7e-05,SIMULATION
ablation_42_5_max_min_fairness_full_69,2026-09-01T13:56:01.835221,69,full,5,max_min_fairness,100.0,54.29,54.29,0.752,-0.590451,17.58,1.48,5.6e-05,SIMULATION
ablation_42_5_max_min_fairness_full_70,2026-09-01T13:56:01.835756,70,full,5,max_min_fairness,100.0,67.46,67.46,0.8746,-2.399136,20.74,2.47,5.6e-05,SIMULATION
ablation_42_5_max_min_fairness_full_71,2026-09-01T13:56:01.836296,71,full,5,max_min_fairness,100.0,47.72,47.72,0.8897,-0.06091,12.53,4.1,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_42,2026-09-01T13:56:01.836829,42,full,5,alpha_fair,100.0,43.51,43.51,0.8536,0.383775,16.95,1.13,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_43,2026-09-01T13:56:01.837367,43,full,5,alpha_fair,100.0,57.93,57.93,0.8118,-1.078574,8.54,4.48,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_44,2026-09-01T13:56:01.837894,44,full,5,alpha_fair,100.0,37.12,37.12,0.6829,0.726238,13.72,3.71,6.2e-05,SIMULATION
ablation_42_5_alpha_fair_full_45,2026-09-01T13:56:01.838431,45,full,5,alpha_fair,100.0,48.12,48.12,0.836,-0.261632,11.81,3.44,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_46,2026-09-01T13:56:01.838960,46,full,5,alpha_fair,100.0,51.37,51.37,0.7028,-0.527024,20.44,3.0,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_47,2026-09-01T13:56:01.839525,47,full,5,alpha_fair,100.0,56.9,56.9,0.8492,-0.833723,12.93,3.15,6e-05,SIMULATION
ablation_42_5_alpha_fair_full_48,2026-09-01T13:56:01.840107,48,full,5,alpha_fair,100.0,82.11,82.11,0.9315,-3.93708,15.67,1.66,6.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_49,2026-09-01T13:56:01.840693,49,full,5,alpha_fair,100.0,44.33,44.33,0.6996,0.133039,8.94,3.07,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_50,2026-09-01T13:56:01.841231,50,full,5,alpha_fair,100.0,63.69,63.69,0.8344,-1.68488,14.97,2.33,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_51,2026-09-01T13:56:01.841833,51,full,5,alpha_fair,100.0,76.17,76.17,0.9758,-3.113895,11.41,3.51,6.1e-05,SIMULATION
ablation_42_5_alpha_fair_full_52,2026-09-01T13:56:01.842370,52,full,5,alpha_fair,100.0,65.31,65.31,0.792,-1.865962,21.7,1.27,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_53,2026-09-01T13:56:01.842913,53,full,5,alpha_fair,100.0,98.14,98.14,0.9139,-6.851438,16.64,5.45,6e-05,SIMULATION
ablation_42_5_alpha_fair_full_54,2026-09-01T13:56:01.843439,54,full,5,alpha_fair,100.0,72.62,72.62,0.9114,-2.652246,20.79,1.69,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_55,2026-09-01T13:56:01.843977,55,full,5,alpha_fair,100.0,60.78,60.78,0.8529,-1.738261,9.26,5.75,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_56,2026-09-01T13:56:01.844503,56,full,5,alpha_fair,100.0,81.04,81.04,0.785,-3.981707,21.52,3.8,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_57,2026-09-01T13:56:01.845045,57,full,5,alpha_fair,100.0,63.49,63.49,0.8735,-1.303304,8.6,3.95,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_58,2026-09-01T13:56:01.845577,58,full,5,alpha_fair,100.0,70.82,70.82,0.8978,-2.652614,16.13,2.03,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_59,2026-09-01T13:56:01.846109,59,full,5,alpha_fair,100.0,54.6,54.6,0.8977,-0.627645,11.14,5.66,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_60,2026-09-01T13:56:01.846642,60,full,5,alpha_fair,100.0,60.82,60.82,0.8671,-1.483007,12.31,3.89,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_61,2026-09-01T13:56:01.847175,61,full,5,alpha_fair,100.0,45.46,45.46,0.9116,0.068652,14.92,3.78,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_62,2026-09-01T13:56:01.847701,62,full,5,alpha_fair,100.0,60.04,60.04,0.8822,-1.463745,20.99,1.87,5.5e-05,SIMULATION
ablation_42_5_alpha_fair_full_63,2026-09-01T13:56:01.848233,63,full,5,alpha_fair,100.0,43.41,43.41,0.7733,0.238472,14.23,2.47,5.5e-05,SIMULATION
ablation_42_5_alpha_fair_full_64,2026-09-01T13:56:01.848756,64,full,5,alpha_fair,100.0,59.38,59.38,0.8513,-1.280711,14.67,4.15,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_65,2026-09-01T13:56:01.849287,65,full,5,alpha_fair,100.0,90.35,90.35,0.9366,-5.209158,13.81,2.44,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_66,2026-09-01T13:56:01.849814,66,full,5,alpha_fair,100.0,49.24,49.24,0.9158,0.072725,8.99,3.17,5.5e-05,SIMULATION
ablation_42_5_alpha_fair_full_67,2026-09-01T13:56:01.850347,67,full,5,alpha_fair,100.0,74.15,74.15,0.8114,-2.795147,9.05,4.83,5.6e-05,SIMULATION
ablation_42_5_alpha_fair_full_68,2026-09-01T13:56:01.850878,68,full,5,alpha_fair,100.0,75.16,75.16,0.9138,-3.276309,18.38,5.7,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_69,2026-09-01T13:56:01.851412,69,full,5,alpha_fair,100.0,54.29,54.29,0.752,-0.590451,17.58,1.48,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_70,2026-09-01T13:56:01.851984,70,full,5,alpha_fair,100.0,67.46,67.46,0.8746,-2.399136,20.74,2.47,5.7e-05,SIMULATION
ablation_42_5_alpha_fair_full_71,2026-09-01T13:56:01.852524,71,full,5,alpha_fair,100.0,47.72,47.72,0.8897,-0.06091,12.53,4.1,5.6e-05,SIMULATION
ablation_42_5_game_theory_full_42,2026-09-01T13:56:01.853945,42,full,5,game_theory,100.0,28.5,28.5,0.8938,1.211457,16.95,1.13,6.6e-05,SIMULATION
ablation_42_5_game_theory_full_43,2026-09-01T13:56:01.855370,43,full,5,game_theory,100.0,29.5,29.5,0.9603,1.16264,8.54,4.48,6.4e-05,SIMULATION
ablation_42_5_game_theory_full_44,2026-09-01T13:56:01.856622,44,full,5,game_theory,100.0,26.5,26.5,0.8577,1.258975,13.72,3.71,0.000106,SIMULATION
ablation_42_5_game_theory_full_45,2026-09-01T13:56:01.858282,45,full,5,game_theory,100.0,29.5,29.5,0.9932,1.103386,11.81,3.44,7.5e-05,SIMULATION
ablation_42_5_game_theory_full_46,2026-09-01T13:56:01.859238,46,full,5,game_theory,100.0,27.5,27.5,0.8806,1.075505,20.44,3.0,3.8e-05,SIMULATION
ablation_42_5_game_theory_full_47,2026-09-01T13:56:01.860094,47,full,5,game_theory,100.0,29.5,29.5,0.9847,1.111256,12.93,3.15,4.2e-05,SIMULATION
ablation_42_5_game_theory_full_48,2026-09-01T13:56:01.861119,48,full,5,game_theory,100.0,29.5,29.5,0.9903,1.226558,15.67,1.66,3.6e-05,SIMULATION
