metric,algorithm_a,algorithm_b,sample_size,mean_a,mean_b,mean_difference,test_name,statistic,p_value,adjusted_p_value,confidence_interval_lower,confidence_interval_upper,effect_size,effect_size_interpretation,significance
average_utility,equal,game_theory,240,-0.3124874999999999,0.6638158333333333,-0.9763033333333333,paired_t_test,-11.77134080680531,1.566796780829761e-25,5.1024199704292746e-40,-0.9789051973444016,-0.973701469322265,-1.3782393569285663,large,significant (FDR-adjusted)
jain_fairness_index,equal,game_theory,240,0.9743420833333334,0.73519875,0.23914333333333335,paired_t_test,11.12787643650969,1.8896644422914005e-23,5.1024199704292746e-40,0.23846915973731703,0.23981750692934967,1.0723215306735712,large,significant (FDR-adjusted)
utilization_percentage,equal,game_theory,240,92.93941666666666,74.07916666666667,18.86025,paired_t_test,16.49335906467714,2.551209985214637e-41,5.1024199704292746e-40,18.82437729823167,18.89612270176833,0.9011779682677266,large,significant (FDR-adjusted)
computational_time,equal,game_theory,240,0.00043750000000000006,0.04136625000000001,-0.04092875,paired_t_test,-9.189697328139449,1.9744130166449208e-17,5.1024199704292746e-40,-0.041068468215135726,-0.040789031784864274,-0.8333908121644376,large,significant (FDR-adjusted)
average_utility,proportional,game_theory,240,-0.5296333333333333,0.6638158333333333,-1.1934491666666667,paired_t_test,-11.661770309460415,3.56178773769159e-25,5.1024199704292746e-40,-1.196659611398226,-1.1902387219351074,-1.309091853068224,large,significant (FDR-adjusted)
jain_fairness_index,proportional,game_theory,240,0.8140195833333332,0.73519875,0.07882083333333334,paired_t_test,4.03143177284706,7.457803294713737e-05,5.1024199704292746e-40,0.07820748461311283,0.07943418205355383,0.35586205735149445,small,significant (FDR-adjusted)
utilization_percentage,proportional,game_theory,240,95.11749999999999,74.07916666666667,21.038333333333334,paired_t_test,15.715882145687695,1.057375687119545e-38,5.1024199704292746e-40,20.996338261925413,21.080328404741255,1.0108061620581665,large,significant (FDR-adjusted)
computational_time,proportional,game_theory,240,0.0004725,0.04136625000000001,-0.04089374999999999,paired_t_test,-9.188485620564713,1.9909129381452213e-17,5.1024199704292746e-40,-0.041033367145076154,-0.04075413285492383,-0.8326712320659749,large,significant (FDR-adjusted)
average_utility,priority,game_theory,240,-1.2476241666666668,0.6638158333333333,-1.9114399999999998,paired_t_test,-9.864359588370354,1.7827530130900488e-19,5.1024199704292746e-40,-1.917518795458543,-1.9053612045414565,-1.0383762182700107,large,significant (FDR-adjusted)
jain_fairness_index,priority,game_theory,240,0.9433354166666668,0.73519875,0.2081366666666667,paired_t_test,10.381488585940534,4.415053956058701e-21,5.1024199704292746e-40,0.20750771869658333,0.20876561463675006,0.946695384344323,large,significant (FDR-adjusted)
utilization_percentage,priority,game_theory,240,100.0,74.07916666666667,25.920833333333334,paired_t_test,15.39953043712564,1.231698146730175e-37,5.1024199704292746e-40,25.868029282958698,25.97363738370797,1.4057783659001841,large,significant (FDR-adjusted)
computational_time,priority,game_theory,240,0.0005625000000000001,0.04136625000000001,-0.04080375,paired_t_test,-9.186119166949466,2.0235328790766242e-17,5.1024199704292746e-40,-0.04094309576001053,-0.04066440423998947,-0.8308266177617876,large,significant (FDR-adjusted)
average_utility,max_min_fairness,game_theory,240,-0.49685833333333335,0.6638158333333333,-1.1606741666666665,paired_t_test,-11.329495790045746,4.2438013514311806e-24,5.1024199704292746e-40,-1.1638880158416687,-1.1574603174916642,-1.2706612937770738,large,significant (FDR-adjusted)
jain_fairness_index,max_min_fairness,game_theory,240,0.96775125,0.73519875,0.23255250000000002,paired_t_test,10.624788393741028,7.567014778850507e-22,5.1024199704292746e-40,0.23186586414321006,0.23323913585679,1.0373686100654096,large,significant (FDR-adjusted)
utilization_percentage,max_min_fairness,game_theory,240,95.11749999999999,74.07916666666667,21.038333333333334,paired_t_test,15.715882145687695,1.057375687119545e-38,5.1024199704292746e-40,20.996338261925413,21.080328404741255,1.0108061620581665,large,significant (FDR-adjusted)
computational_time,max_min_fairness,game_theory,240,0.00046333333333333334,0.04136625000000001,-0.04090291666666667,paired_t_test,-9.185550853843898,2.0314453688219526e-17,5.1024199704292746e-40,-0.041042609725483424,-0.04076322360784992,-0.8328647309294827,large,significant (FDR-adjusted)
average_utility,alpha_fair,game_theory,240,-0.5296333333333333,0.6638158333333333,-1.1934491666666667,paired_t_test,-11.661770309460415,3.56178773769159e-25,5.1024199704292746e-40,-1.196659611398226,-1.1902387219351074,-1.309091853068224,large,significant (FDR-adjusted)
jain_fairness_index,alpha_fair,game_theory,240,0.8140195833333332,0.73519875,0.07882083333333334,paired_t_test,4.03143177284706,7.457803294713737e-05,5.1024199704292746e-40,0.07820748461311283,0.07943418205355383,0.35586205735149445,small,significant (FDR-adjusted)
utilization_percentage,alpha_fair,game_theory,240,95.11749999999999,74.07916666666667,21.038333333333334,paired_t_test,15.715882145687695,1.057375687119545e-38,5.1024199704292746e-40,20.996338261925413,21.080328404741255,1.0108061620581665,large,significant (FDR-adjusted)
computational_time,alpha_fair,game_theory,240,0.0004783333333333333,0.04136625000000001,-0.04088791666666667,paired_t_test,-9.19651300367556,1.8841013725379556e-17,5.1024199704292746e-40,-0.04102739204532405,-0.040748441288009286,-0.8325508195704426,large,significant (FDR-adjusted)
