experiment_id,timestamp,seed,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,repetition,computational_time,convergence_iterations,converged,is_nash_equilibrium,data_source
exp_42_5_max_min_fairness_7,2026-09-01T13:22:29.819991,48,5,max_min_fairness,100.0,82.11,82.11,0.9315,-3.9371,15.67,1.66,7,0.0001,,,,SIMULATION
exp_42_5_max_min_fairness_8,2026-09-01T13:22:29.820096,49,5,max_min_fairness,100.0,44.33,44.33,0.6996,0.133,8.94,3.07,8,0.0001,,,,SIMULATION
exp_42_5_max_min_fairness_9,2026-09-01T13:22:29.820244,50,5,max_min_fairness,100.0,63.69,63.69,0.8344,-1.6849,14.97,2.33,9,0.0001,,,,SIMULATION
exp_42_5_max_min_fairness_10,2026-09-01T13:22:29.820377,51,5,max_min_fairness,100.0,76.17,76.17,0.9758,-3.1139,11.41,3.51,10,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_1,2026-09-01T13:22:29.820530,42,5,alpha_fair,100.0,43.51,43.51,0.8536,0.3838,16.95,1.13,1,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_2,2026-09-01T13:22:29.820654,43,5,alpha_fair,100.0,57.93,57.93,0.8118,-1.0786,8.54,4.48,2,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_3,2026-09-01T13:22:29.820784,44,5,alpha_fair,100.0,37.12,37.12,0.6829,0.7262,13.72,3.71,3,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_4,2026-09-01T13:22:29.820878,45,5,alpha_fair,100.0,48.12,48.12,0.836,-0.2616,11.81,3.44,4,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_5,2026-09-01T13:22:29.820969,46,5,alpha_fair,100.0,51.37,51.37,0.7028,-0.527,20.44,3.0,5,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_6,2026-09-01T13:22:29.821082,47,5,alpha_fair,100.0,56.9,56.9,0.8492,-0.8337,12.93,3.15,6,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_7,2026-09-01T13:22:29.821171,48,5,alpha_fair,100.0,82.11,82.11,0.9315,-3.9371,15.67,1.66,7,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_8,2026-09-01T13:22:29.821260,49,5,alpha_fair,100.0,44.33,44.33,0.6996,0.133,8.94,3.07,8,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_9,2026-09-01T13:22:29.821356,50,5,alpha_fair,100.0,63.69,63.69,0.8344,-1.6849,14.97,2.33,9,0.0001,,,,SIMULATION
exp_42_5_alpha_fair_10,2026-09-01T13:22:29.821446,51,5,alpha_fair,100.0,76.17,76.17,0.9758,-3.1139,11.41,3.51,10,0.0001,,,,SIMULATION
exp_42_5_game_theory_1,2026-09-01T13:22:29.822314,42,5,game_theory,100.0,28.5,28.5,0.8938,1.5674,16.95,1.13,1,0.0008,4,True,True,SIMULATION
exp_42_5_game_theory_2,2026-09-01T13:22:29.823081,43,5,game_theory,100.0,29.5,29.5,0.9603,1.5399,8.54,4.48,2,0.0007,3,True,True,SIMULATION
exp_42_5_game_theory_3,2026-09-01T13:22:29.823627,44,5,game_theory,100.0,26.5,26.5,0.8577,1.6506,13.72,3.71,3,0.0005,3,True,True,SIMULATION
exp_42_5_game_theory_4,2026-09-01T13:22:29.826626,45,5,game_theory,100.0,29.5,29.5,0.9932,1.6776,11.81,3.44,4,0.0029,4,True,True,SIMULATION
exp_42_5_game_theory_5,2026-09-01T13:22:29.829046,46,5,game_theory,100.0,27.5,27.5,0.8806,1.5176,20.44,3.0,5,0.0023,4,True,True,SIMULATION
exp_42_5_game_theory_6,2026-09-01T13:22:29.832255,47,5,game_theory,100.0,29.5,29.5,0.9847,1.4927,12.93,3.15,6,0.0031,4,True,True,SIMULATION
exp_42_5_game_theory_7,2026-09-01T13:22:29.835953,48,5,game_theory,100.0,29.5,29.5,0.9903,1.4533,15.67,1.66,7,0.0034,4,True,True,SIMULATION
