number_of_users,strategy,n,total_allocated_mean,total_allocated_median,total_allocated_std_dev,total_allocated_min,total_allocated_max,total_allocated_ci_95_lower,total_allocated_ci_95_upper,utilization_percentage_mean,utilization_percentage_median,utilization_percentage_std_dev,utilization_percentage_min,utilization_percentage_max,utilization_percentage_ci_95_lower,utilization_percentage_ci_95_upper,jain_fairness_index_mean,jain_fairness_index_median,jain_fairness_index_std_dev,jain_fairness_index_min,jain_fairness_index_max,jain_fairness_index_ci_95_lower,jain_fairness_index_ci_95_upper,average_utility_mean,average_utility_median,average_utility_std_dev,average_utility_min,average_utility_max,average_utility_ci_95_lower,average_utility_ci_95_upper,computational_time_mean,computational_time_median,computational_time_std_dev,computational_time_min,computational_time_max,computational_time_ci_95_lower,computational_time_ci_95_upper,convergence_iterations_mean,convergence_iterations_median,convergence_iterations_std_dev,convergence_iterations_min,convergence_iterations_max,convergence_iterations_ci_95_lower,convergence_iterations_ci_95_upper
50,priority,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.942407,0.9416,0.007493,0.9282,0.9584,0.939609,0.945205,0.23781,0.2374,0.031624,0.1682,0.2936,0.226001,0.249619,0.000263,0.0003,4.9e-05,0.0002,0.0003,0.000245,0.000282,,,,,,,
50,proportional,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.80574,0.8053,0.027441,0.758,0.8812,0.795493,0.815987,0.198247,0.20145,0.029751,0.1348,0.2494,0.187137,0.209356,0.000207,0.0002,2.5e-05,0.0002,0.0003,0.000197,0.000216,,,,,,,
100,alpha_fair,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.80226,0.80135,0.017733,0.7627,0.8349,0.795639,0.808881,0.278367,0.2801,0.014121,0.2425,0.2984,0.273094,0.28364,0.000563,0.0005,0.000171,0.0004,0.0009,0.000499,0.000627,,,,,,,
100,equal,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.305823,0.30795,0.013602,0.2699,0.3235,0.300744,0.310902,0.000337,0.0003,6.7e-05,0.0003,0.0006,0.000312,0.000362,,,,,,,
100,game_theory,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.619087,0.6173,0.022307,0.5714,0.6579,0.610757,0.627416,0.27721,0.2768,0.005226,0.268,0.293,0.275258,0.279162,0.025457,0.02315,0.006759,0.0187,0.0445,0.022933,0.027981,7.3,7.0,0.466092,7.0,8.0,7.125959,7.474041
100,max_min_fairness,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.305823,0.30795,0.013602,0.2699,0.3235,0.300744,0.310902,0.000513,0.0004,0.000155,0.0004,0.0008,0.000456,0.000571,,,,,,,
100,priority,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.942393,0.94295,0.004405,0.9349,0.9523,0.940748,0.944038,0.305327,0.30665,0.014946,0.2631,0.3259,0.299746,0.310908,0.000563,0.0005,0.000181,0.0004,0.0009,0.000496,0.000631,,,,,,,
100,proportional,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.80226,0.80135,0.017733,0.7627,0.8349,0.795639,0.808881,0.278367,0.2801,0.014121,0.2425,0.2984,0.273094,0.28364,0.000367,0.0004,5.5e-05,0.0003,0.0005,0.000346,0.000387,,,,,,,
200,alpha_fair,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.801347,0.7991,0.012842,0.7785,0.8309,0.796551,0.806142,0.21741,0.2173,0.006153,0.202,0.2292,0.215113,0.219707,0.0008,0.0007,0.000184,0.0007,0.0015,0.000731,0.000869,,,,,,,
200,equal,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.228313,0.22785,0.006094,0.2129,0.2397,0.226038,0.230589,0.000973,0.0008,0.000289,0.0007,0.0014,0.000865,0.001081,,,,,,,
